experiment,dataset,model,cond_class,stratum,base_correct,n_pairs,metric,numerator,denominator,variant_id,num,den,rate
experiment,VQAv2,gemma3-27b-it,a,S0,all,17730,adopt,A_raw,D_all,A_raw__D_all,2492,17730,0.14055273547659333
experiment,VQAv2,gemma3-27b-it,a,S0,all,17730,adopt,A_raw,D_paired,A_raw__D_paired,839,15846,0.052947115991417396
experiment,VQAv2,gemma3-27b-it,a,S0,all,17730,adopt,A_raw,D_clean,A_raw__D_clean,628,14807,0.04241237252650773
experiment,VQAv2,gemma3-27b-it,a,S0,all,17730,adopt,A_paired,D_all,A_paired__D_all,839,17730,0.047320924985899605
experiment,VQAv2,gemma3-27b-it,a,S0,all,17730,adopt,A_paired,D_paired,A_paired__D_paired,839,15846,0.052947115991417396
experiment,VQAv2,gemma3-27b-it,a,S0,all,17730,adopt,A_paired,D_clean,A_paired__D_clean,628,14807,0.04241237252650773
experiment,VQAv2,gemma3-27b-it,a,S0,all,17730,adopt,A_clean,D_all,A_clean__D_all,628,17730,0.03542019176536943
experiment,VQAv2,gemma3-27b-it,a,S0,all,17730,adopt,A_clean,D_paired,A_clean__D_paired,628,15846,0.0396314527325508
experiment,VQAv2,gemma3-27b-it,a,S0,all,17730,adopt,A_clean,D_clean,A_clean__D_clean,628,14807,0.04241237252650773
experiment,VQAv2,gemma3-27b-it,a,S0,all,17730,df,DF_raw,DD_all,DF_raw__DD_all,7814,17730,0.440721940214326
experiment,VQAv2,gemma3-27b-it,a,S0,all,17730,df,DF_raw,DD_moved,DF_raw__DD_moved,1739,4040,0.43044554455445544
experiment,VQAv2,gemma3-27b-it,a,S0,all,17730,df,DF_raw,DD_clean,DF_raw__DD_clean,1549,3554,0.43584693303320204
experiment,VQAv2,gemma3-27b-it,a,S0,all,17730,df,DF_moved,DD_all,DF_moved__DD_all,1739,17730,0.09808234630569657
experiment,VQAv2,gemma3-27b-it,a,S0,all,17730,df,DF_moved,DD_moved,DF_moved__DD_moved,1739,4040,0.43044554455445544
experiment,VQAv2,gemma3-27b-it,a,S0,all,17730,df,DF_moved,DD_clean,DF_moved__DD_clean,1549,3554,0.43584693303320204
experiment,VQAv2,gemma3-27b-it,a,S0,all,17730,df,DF_clean,DD_all,DF_clean__DD_all,1549,17730,0.08736604624929498
experiment,VQAv2,gemma3-27b-it,a,S0,all,17730,df,DF_clean,DD_moved,DF_clean__DD_moved,1549,4040,0.3834158415841584
experiment,VQAv2,gemma3-27b-it,a,S0,all,17730,df,DF_clean,DD_clean,DF_clean__DD_clean,1549,3554,0.43584693303320204
experiment,VQAv2,gemma3-27b-it,a,S0,correct,8611,adopt,A_raw,D_all,A_raw__D_all,1103,8611,0.1280919753803275
experiment,VQAv2,gemma3-27b-it,a,S0,correct,8611,adopt,A_raw,D_paired,A_raw__D_paired,206,7644,0.02694924123495552
experiment,VQAv2,gemma3-27b-it,a,S0,correct,8611,adopt,A_raw,D_clean,A_raw__D_clean,206,7644,0.02694924123495552
experiment,VQAv2,gemma3-27b-it,a,S0,correct,8611,adopt,A_paired,D_all,A_paired__D_all,206,8611,0.023922889327604228
experiment,VQAv2,gemma3-27b-it,a,S0,correct,8611,adopt,A_paired,D_paired,A_paired__D_paired,206,7644,0.02694924123495552
experiment,VQAv2,gemma3-27b-it,a,S0,correct,8611,adopt,A_paired,D_clean,A_paired__D_clean,206,7644,0.02694924123495552
experiment,VQAv2,gemma3-27b-it,a,S0,correct,8611,adopt,A_clean,D_all,A_clean__D_all,206,8611,0.023922889327604228
experiment,VQAv2,gemma3-27b-it,a,S0,correct,8611,adopt,A_clean,D_paired,A_clean__D_paired,206,7644,0.02694924123495552
experiment,VQAv2,gemma3-27b-it,a,S0,correct,8611,adopt,A_clean,D_clean,A_clean__D_clean,206,7644,0.02694924123495552
experiment,VQAv2,gemma3-27b-it,a,S0,correct,8611,df,DF_raw,DD_all,DF_raw__DD_all,0,8611,0.0
experiment,VQAv2,gemma3-27b-it,a,S0,correct,8611,df,DF_raw,DD_moved,DF_raw__DD_moved,0,1006,0.0
experiment,VQAv2,gemma3-27b-it,a,S0,correct,8611,df,DF_raw,DD_clean,DF_raw__DD_clean,0,936,0.0
experiment,VQAv2,gemma3-27b-it,a,S0,correct,8611,df,DF_moved,DD_all,DF_moved__DD_all,0,8611,0.0
experiment,VQAv2,gemma3-27b-it,a,S0,correct,8611,df,DF_moved,DD_moved,DF_moved__DD_moved,0,1006,0.0
experiment,VQAv2,gemma3-27b-it,a,S0,correct,8611,df,DF_moved,DD_clean,DF_moved__DD_clean,0,936,0.0
experiment,VQAv2,gemma3-27b-it,a,S0,correct,8611,df,DF_clean,DD_all,DF_clean__DD_all,0,8611,0.0
experiment,VQAv2,gemma3-27b-it,a,S0,correct,8611,df,DF_clean,DD_moved,DF_clean__DD_moved,0,1006,0.0
experiment,VQAv2,gemma3-27b-it,a,S0,correct,8611,df,DF_clean,DD_clean,DF_clean__DD_clean,0,936,0.0
experiment,VQAv2,gemma3-27b-it,a,S0,wrong,9119,adopt,A_raw,D_all,A_raw__D_all,1389,9119,0.1523193332602259
experiment,VQAv2,gemma3-27b-it,a,S0,wrong,9119,adopt,A_raw,D_paired,A_raw__D_paired,633,8202,0.07717629846378932
experiment,VQAv2,gemma3-27b-it,a,S0,wrong,9119,adopt,A_raw,D_clean,A_raw__D_clean,422,7163,0.05891386290660338
experiment,VQAv2,gemma3-27b-it,a,S0,wrong,9119,adopt,A_paired,D_all,A_paired__D_all,633,9119,0.06941550608619367
experiment,VQAv2,gemma3-27b-it,a,S0,wrong,9119,adopt,A_paired,D_paired,A_paired__D_paired,633,8202,0.07717629846378932
experiment,VQAv2,gemma3-27b-it,a,S0,wrong,9119,adopt,A_paired,D_clean,A_paired__D_clean,422,7163,0.05891386290660338
experiment,VQAv2,gemma3-27b-it,a,S0,wrong,9119,adopt,A_clean,D_all,A_clean__D_all,422,9119,0.04627700405746244
experiment,VQAv2,gemma3-27b-it,a,S0,wrong,9119,adopt,A_clean,D_paired,A_clean__D_paired,422,8202,0.05145086564252621
experiment,VQAv2,gemma3-27b-it,a,S0,wrong,9119,adopt,A_clean,D_clean,A_clean__D_clean,422,7163,0.05891386290660338
experiment,VQAv2,gemma3-27b-it,a,S0,wrong,9119,df,DF_raw,DD_all,DF_raw__DD_all,7814,9119,0.8568922030924443
experiment,VQAv2,gemma3-27b-it,a,S0,wrong,9119,df,DF_raw,DD_moved,DF_raw__DD_moved,1739,3034,0.573170731707317
experiment,VQAv2,gemma3-27b-it,a,S0,wrong,9119,df,DF_raw,DD_clean,DF_raw__DD_clean,1549,2618,0.5916730328495035
experiment,VQAv2,gemma3-27b-it,a,S0,wrong,9119,df,DF_moved,DD_all,DF_moved__DD_all,1739,9119,0.19070073472968527
experiment,VQAv2,gemma3-27b-it,a,S0,wrong,9119,df,DF_moved,DD_moved,DF_moved__DD_moved,1739,3034,0.573170731707317
experiment,VQAv2,gemma3-27b-it,a,S0,wrong,9119,df,DF_moved,DD_clean,DF_moved__DD_clean,1549,2618,0.5916730328495035
experiment,VQAv2,gemma3-27b-it,a,S0,wrong,9119,df,DF_clean,DD_all,DF_clean__DD_all,1549,9119,0.1698651167891216
experiment,VQAv2,gemma3-27b-it,a,S0,wrong,9119,df,DF_clean,DD_moved,DF_clean__DD_moved,1549,3034,0.510547132498352
experiment,VQAv2,gemma3-27b-it,a,S0,wrong,9119,df,DF_clean,DD_clean,DF_clean__DD_clean,1549,2618,0.5916730328495035
experiment,VQAv2,gemma3-27b-it,d,S0,all,17730,adopt,A_raw,D_all,A_raw__D_all,0,17730,0.0
experiment,VQAv2,gemma3-27b-it,d,S0,all,17730,adopt,A_raw,D_paired,A_raw__D_paired,0,17730,0.0
experiment,VQAv2,gemma3-27b-it,d,S0,all,17730,adopt,A_raw,D_clean,A_raw__D_clean,0,17730,0.0
experiment,VQAv2,gemma3-27b-it,d,S0,all,17730,adopt,A_paired,D_all,A_paired__D_all,0,17730,0.0
experiment,VQAv2,gemma3-27b-it,d,S0,all,17730,adopt,A_paired,D_paired,A_paired__D_paired,0,17730,0.0
experiment,VQAv2,gemma3-27b-it,d,S0,all,17730,adopt,A_paired,D_clean,A_paired__D_clean,0,17730,0.0
experiment,VQAv2,gemma3-27b-it,d,S0,all,17730,adopt,A_clean,D_all,A_clean__D_all,0,17730,0.0
experiment,VQAv2,gemma3-27b-it,d,S0,all,17730,adopt,A_clean,D_paired,A_clean__D_paired,0,17730,0.0
experiment,VQAv2,gemma3-27b-it,d,S0,all,17730,adopt,A_clean,D_clean,A_clean__D_clean,0,17730,0.0
experiment,VQAv2,gemma3-27b-it,d,S0,all,17730,df,DF_raw,DD_all,DF_raw__DD_all,0,0,
experiment,VQAv2,gemma3-27b-it,d,S0,all,17730,df,DF_raw,DD_moved,DF_raw__DD_moved,0,0,
experiment,VQAv2,gemma3-27b-it,d,S0,all,17730,df,DF_raw,DD_clean,DF_raw__DD_clean,0,0,
experiment,VQAv2,gemma3-27b-it,d,S0,all,17730,df,DF_moved,DD_all,DF_moved__DD_all,0,0,
experiment,VQAv2,gemma3-27b-it,d,S0,all,17730,df,DF_moved,DD_moved,DF_moved__DD_moved,0,0,
experiment,VQAv2,gemma3-27b-it,d,S0,all,17730,df,DF_moved,DD_clean,DF_moved__DD_clean,0,0,
experiment,VQAv2,gemma3-27b-it,d,S0,all,17730,df,DF_clean,DD_all,DF_clean__DD_all,0,0,
experiment,VQAv2,gemma3-27b-it,d,S0,all,17730,df,DF_clean,DD_moved,DF_clean__DD_moved,0,0,
experiment,VQAv2,gemma3-27b-it,d,S0,all,17730,df,DF_clean,DD_clean,DF_clean__DD_clean,0,0,
experiment,VQAv2,gemma3-27b-it,d,S0,correct,8611,adopt,A_raw,D_all,A_raw__D_all,0,8611,0.0
experiment,VQAv2,gemma3-27b-it,d,S0,correct,8611,adopt,A_raw,D_paired,A_raw__D_paired,0,8611,0.0
experiment,VQAv2,gemma3-27b-it,d,S0,correct,8611,adopt,A_raw,D_clean,A_raw__D_clean,0,8611,0.0
experiment,VQAv2,gemma3-27b-it,d,S0,correct,8611,adopt,A_paired,D_all,A_paired__D_all,0,8611,0.0
experiment,VQAv2,gemma3-27b-it,d,S0,correct,8611,adopt,A_paired,D_paired,A_paired__D_paired,0,8611,0.0
experiment,VQAv2,gemma3-27b-it,d,S0,correct,8611,adopt,A_paired,D_clean,A_paired__D_clean,0,8611,0.0
experiment,VQAv2,gemma3-27b-it,d,S0,correct,8611,adopt,A_clean,D_all,A_clean__D_all,0,8611,0.0
experiment,VQAv2,gemma3-27b-it,d,S0,correct,8611,adopt,A_clean,D_paired,A_clean__D_paired,0,8611,0.0
